CHI ID REG,att_A,node_name,node_value_USD,value_USD
1.0,1,"Wages in Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",2420637414.18,1359210.12567
2.0,1,"Wages in Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",2420637414.18,1321680.29332
3.0,1,"Wages in Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",2420637414.18,17211451.5276
4.0,1,"Wages in Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",2420637414.18,115269195.752
5.0,1,"Wages in Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",2420637414.18,126536243.071
6.0,1,"Wages in Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",2420637414.18,380282945.113
7.0,1,"Wages in Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",2420637414.18,297280973.708
8.0,1,"Wages in Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",2420637414.18,500591177.574
9.0,1,"Wages in Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",2420637414.18,170557624.956
10.0,1,"Wages in Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",2420637414.18,22002485.3975
11.0,1,"Wages in Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",2420637414.18,579884.611975
12.0,1,"Wages in Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",2420637414.18,769035.066081
13.0,1,"Wages in Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",2420637414.18,744848232.136
14.0,1,"Wages in Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",2420637414.18,22501667.7367
15.0,1,"Wages in Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",2420637414.18,19525607.114
1.0,1,"Wages in Cultivo de hortalizas, raices y tuberculos ",700400755.094,638237.225498
2.0,1,"Wages in Cultivo de hortalizas, raices y tuberculos ",700400755.094,849254.851402
3.0,1,"Wages in Cultivo de hortalizas, raices y tuberculos ",700400755.094,7427400.56496
4.0,1,"Wages in Cultivo de hortalizas, raices y tuberculos ",700400755.094,32315610.2589
5.0,1,"Wages in Cultivo de hortalizas, raices y tuberculos ",700400755.094,207459960.814
6.0,1,"Wages in Cultivo de hortalizas, raices y tuberculos ",700400755.094,9665471.85886
7.0,1,"Wages in Cultivo de hortalizas, raices y tuberculos ",700400755.094,15432738.5705
8.0,1,"Wages in Cultivo de hortalizas, raices y tuberculos ",700400755.094,283536337.736
9.0,1,"Wages in Cultivo de hortalizas, raices y tuberculos ",700400755.094,981093.204211
10.0,1,"Wages in Cultivo de hortalizas, raices y tuberculos ",700400755.094,19624072.6011
11.0,1,"Wages in Cultivo de hortalizas, raices y tuberculos ",700400755.094,122543.274053
12.0,1,"Wages in Cultivo de hortalizas, raices y tuberculos ",700400755.094,1418573.4346
13.0,1,"Wages in Cultivo de hortalizas, raices y tuberculos ",700400755.094,111092560.69
14.0,1,"Wages in Cultivo de hortalizas, raices y tuberculos ",700400755.094,2468238.9721
15.0,1,"Wages in Cultivo de hortalizas, raices y tuberculos ",700400755.094,7368661.03822
1.0,1,Wages in Otros cultivos transitorios n.c.p.,1833219141.05,5937063.01341
